"Author_Abbrev","Title_Abbrev","Authors","Latin_Title","Modern_Title"
"Firm. Mat.","Err. prof. rel.","Firmicus Maternus","De errore profanarum religionum"
"Flor.","Epon.","L. Annaeus Florus","Eponymous"
"Frontin.","Aq.","Frontinus","De aquae ductu urbis Romae"
"Frontin.","Str.","Frontinus","Strategemata"
"Fronto","Ep.","Fronto","Epistulae"
"Fulg.","Myth.","Fulgentius","Mitologiae tres libri"
"Gai.","Inst.","Gaius","Institutiones"
"Gal.","De loc. aff.","Galen","De locis affectis"
"Gal.","Libr. Propr.","Galen","Greek"
"Gal.","Nat. Fac.","Galen","Greek"
"Gell.","NA","Aulus Gellius","Noctes Atticae"
"Geog. Rav.","Epon.","Geographer of Ravenna"
"German.","Arat.","Germanicus","Aratea"
"Gorg.","Hel.","Gorgias","Helena","Encomium of Helen"
"Gorg.","Pal.","Gorgias","Palamedes"
"Gregory of Tours","Glor. mart.","Gregory of Tours","Gloria martyrorum"
"Gregory of Tours","Hist.","Gregory of Tours","Historiae"
"Harp.","Epon.","Harpocration","Eponymous"
"Hdn.","Epon.","Herodianus","Eponymous"
"Hdt.","Epon.","Herodotus","Eponymous"
"Heliod.","Aeth.","Heliodorus","Aethiopica"
"Heph.","Epon.","Hephaestion","Eponymous"
"Heraclid. Pont.","Epon.","Heraclides Ponticus","Eponymous"
"Hermog.","Id.","Hermogenes","Greek"
"Hermog.","Inv.","Hermogenes","Greek"
"Hermog.","Prog.","Hermogenes","Greek"
"Herod.","Epon.","Herodotus","Eponymous"
"Herodian","Epon.","Aelius Herodianus (and Pseudo-Herodian)","Katholk&ecirc; pros&ocirc;dia"
"Heron","Pneum,","Heron","Pneumatica"
"Hes.","Cat.","Hesiod","Catalogus mulierum","Catalogue of Women"
"Hes.","Op.","Hesiod","Opera et Dies","Works and Days"
"Hes.","Sc.","Hesiod","Scutum","Shield"
"Hes.","Theog.","Hesiod","Theogonia","Theogony"
"Himer.","Ecl.","Himerius","Eclogae"
"Himer.","Or.","Himerius","Orationes"
"Hippoc.","Acut.","Hippocrates","De diaeta in morbis acutis"
"Hippoc.","Aer.","Hippocrates","De aera, aquis, locis"
"Hippoc.","Art.","Hippocrates","De articulis"
"Hippoc.","Ep.","Hippocrates","Epistulae"
"Hippoc.","Epid.","Hippocrates","Epidemiae"
"Hippoc.","Morb.","Hippocrates","On Diseases"
"Hippoc.","Morb. sacr.","Hippocrates","De morbo sacro"
"Hippoc.","Mul.","Hippocrates","De mulierum affectibus"
"Hippoc.","Nat. mul.","Hippocrates","De natura muliebri"
"Hippoc.","Nat. puer.","Hippocrates","On the Nature of the Child"
"Hippoc.","Off.","Hippocrates","De officina medici"
"Hippoc.","Virg.","Hippocrates","De virginibus morbis"
"Hippoc.","VM","Hippocrates","De vetere medicina"
"Hippol.","Haer.","Hippolytus","Refutation omnium haeresium"
"Hom.","Il.","Homer","Iliad"
"Hom.","Od.","Homer","Odyssey"
"Hor.","Ars P.","Horace","Ars poetica"
"Hor.","Carm.","Horace","Carmina or Odes","Odes"
"Hor.","Carm. saec.","Horace","Carmen saeculare"
"Hor.","Epist.","Horace","Episulae","Epistles"
"Hor.","Epod.","Horace","Epodi","Epodes"
"Hor.","Sat.","Horace","Satirae or Sermones","Satires"
"Hsch.","Epon.","Hesychius","Eponymous"
"Hyg.","Fab.","Hyginus","Fabulae"
"Hyg.","Poet. astr.","Hyginus","Poetica astronomica"
"Iambl.","Myst.","Iamblichus","De mysteriis","On Mysteries"
"Iambl.","VP","Iamblichus","Vita Pythagorae","Life of Pythagoras"
"Ibyc.","Epon.","Ibycus","Eponymous"
"Isae.","Epon.","Isaeus","Eponymous"
"Isid.","De vir. ill.","Isidorus","De viris illustribus","On Famous Men"
"Isid.","Etym.","Isidorus","Etymologiae","Etymology"
"Isoc.","Antid.","Isocrates","Antidosis","Antidosis"
"Isoc.","Bus.","Isocrates","Busiris","Busiris"
"Isoc.","C. soph.","Isocrates","Contra sophistas","Against the Sophists"
"Isoc.","Panath.","Isocrates","Panathenaicus","Panathenaicus"
"Isoc.","Paneg.","Isocrates","Panegyricus","Panegyric"
"James","James","James","James"
"Jer.","Ab Abr.","Jerome","Ab Abraham","From Abraham"
"Jer.","Adv. Iovinian","Jerome","Adversus Iovinianum","Against Jovinian"
"Jer.","Chron.","Jerome","Chronica","Chronicle"
"Jer.","De script.eccles.pro","Jerome","De scriptoribus ecclesiasticis prolegomena","Preface on Church Scriptures"
"Jer.","De vir. ill.","Jerome","De viris illustribus","On Famous Men"
"Jer.","Ep.","Jerome","Epistulae","Letters"
"John","1 John","John","1 John"
"John","2 John","John","2 John"
"John","3 John","John","3 John"
"John","Jn.","John","John"
"John","Rev.","John","Revelations"
"John Mark","Mk.","John Mark","Mark"
"Joseph.","AJ","Josephus","Antiquitates Judaicae","Jewish Antiquities"
"Joseph.","Ap.","Josephus","Contra Apionem","Against Apion"
"Joseph.","BJ","Josephus","Bellum Judaicum","Jewish War"
"Joseph.","Vit.","Josephus","Vita","Life"
"Julian.","Apophth.","Julianis imperator","Apophthegmata","Sayings"
"Julian.","Ep.","Julianis imperator","Epistulae","Letters"
"Julian.","Mis.","Julianis imperator","Misopogon","Beard-Hater"
"Julian.","Or.","Julianis imperator","Orationes","Orations"
"Just.","Epit.","Justinus","Epitome (of Trogus)"
"Justin","Apol.","Justin Martyr","Apologia","Apology"
"Juv.","Epon.","Juvenal","Eponymous"
"Lactant.","De mort. pers.","Lactantius","De mortibus persecutorum","On the deaths of the persecutors"
"Lactant.","Div. inst.","Lactantius","Divinae institutiones","Divine Institutions"
"Lib.","Epon.","Libanius","Eponymous"
"Liv. Andron.","Od.","Livius Andronicus","Odyssia","Odyssey"
"Livy","Epit.","Livy","Epitomae","Epitomes"
"Livy","Epon.","Livy","Ab urbe condita libri","Eponymous"
"Livy","Per.","Livy","Periochae","Summaries"
"Luc.","Epon.","Lucan","Eponymous"
"Lucian","Alex.","Lucian","Alexander","Alexander"
"Lucian","Anach.","Lucian","Anacharsis","Anacharsis"
"Lucian","Cal.","Lucian","Calumniae non temere credendum","Tricks not to be Believed Blindly"
"Lucian","Catapl.","Lucian","Cataplus","Cataplus"
"Lucian","De mort. Peregr.","Lucian","De morte peregrini","On the death of the foreigner"
"Lucian","Demon.","Lucian","Demonax","Demonax"
"Lucian","Dial. D.","Lucian","Dialogi deorum","Dialogues of the Gods"
"Lucian","Dial. meret.","Lucian","Dialogi meretricii","Dialogues of the Courtesans"
"Lucian","Dial. mort.","Lucian","Dialogi mortuorum","Dialogues of the Dead"
"Lucian","Her.","Lucian","Herodotus","Herodotus"
"Lucian","Hermot.","Lucian","Hermotimus","Hermotimus"
"Lucian","Hist. conscr.","Lucian","Quomodo historia conscribenda sit","How to Write History"
"Lucian","Ind.","Lucian","Adversus indoctum","Against Ignorance"
"Lucian","Iupp. trag.","Lucian","Iuppiter tragoedus","Jupiter the Tragedian"
"Lucian","Luct.","Lucian","De luctu","On Funerals"
"Lucian","Macr.","Lucian","Macrobii","Macrobii"
"Lucian","Nigr.","Lucian","Nigrinus","Nigrinus"
"Lucian","Philops.","Lucian","Philopseudes","Lover of Lies"
"Lucian","Pseudol.","Lucian","Pseudologista","False Speaking"
"Lucian","Salt.","Lucian","De saltatione","On Dancing"
"Lucian","Somn.","Lucian","Somnium","Sleep"
"Lucian","Symp.","Lucian","Symposium","Symposium"
"Lucian","Syr. D.","Lucian","De Syria dea","On the Syrian Goddess"
"Lucian","Trag.","Lucian","Tragoedopodagra"
"Lucian","Ver. hist.","Lucian","Verae historiae, 1, 2","True Histories"
"Lucian","Vit. auct.","Lucian","Vitarum auctio","Philosophies for Sale"
"Lucil.","Epon.","Lucilius","Eponymous"
"Lucr.","Epon.","Lucretius","Eponymous"
"Luke","Acts","Luke","Acts of the Apostles"
"Luke","Lk.","Luke","Luke"
