iam_work_id,author_abbrev,title_abbrev,author_name,iam_author_id,latin_title,modern_title
iamwork384,Eur.,Or.,Euripides,euripides,Orestes,
iamwork385,Eur.,Phoen.,Euripides,euripides,Phoenissae,
iamwork386,Eur.,Rhes.,Euripides,euripides,Rhesus,
iamwork387,Eur.,Sthen.,Euripides,euripides,Stheneboea,
iamwork388,Eur.,Supp.,Euripides,euripides,Supplices,Suppliants
iamwork389,Eur.,Tro.,Euripides,euripides,Troades,
iamwork390,Euseb.,Chron.,Eusebius,eusebius,Chronica,
iamwork391,Euseb.,Hist. eccl.,Eusebius,eusebius,Historia ecclesiastica,
iamwork392,Euseb.,Praep. evang.,Eusebius,eusebius,Praeparatio evangelica,
iamwork393,Euseb.,Vit. Const.,Eusebius,eusebius,Vita Constantini,Life of Constantine
iamwork394,Eust.,Il.,Eustathius,eustathius,Ad Iliadem,
iamwork395,Eust.,Od.,Eustathius,eustathius,Ad Odysseam,
iamwork396,Eust.,Prooem. ad Pind.,Eustathius,eustathius,"Eustathii prooemium commentarium Pindaricorum, ed.",
iamwork397,Eutocius,In Arch. circ. dim.,Eutocius,eutocius,In Archimedis circuli dimensionem,
iamwork398,Eutr.,Epon.,Eutropius,eutropius,Eponymous,
iamwork399,Firm. Mat.,Err. prof. rel.,Firmicus Maternus,firmicus-maternus,De errore profanarum religionum,
iamwork400,Flor.,Epon.,L. Annaeus Florus,annaeus-florus-l,Eponymous,
iamwork401,Frontin.,Aq.,Frontinus,frontinus,De aquae ductu urbis Romae,
iamwork402,Frontin.,Str.,Frontinus,frontinus,Strategemata,
iamwork403,Fronto,Ep.,Fronto,fronto,Epistulae,
iamwork404,Fulg.,Myth.,Fulgentius,fulgentius,Mitologiae tres libri,
iamwork405,Gai.,Inst.,Gaius,gaius,Institutiones,
iamwork406,Gal.,De loc. aff.,Galen,galen,De locis affectis,
iamwork407,Gal.,Libr. Propr.,Galen,galen,Greek,
iamwork408,Gal.,Nat. Fac.,Galen,galen,Greek,
iamwork409,Gell.,NA,Aulus Gellius,aulus-gellius,Noctes Atticae,
iamwork410,Geog. Rav.,Epon.,Geographer of Ravenna,geographer-of-ravenna,,
iamwork411,German.,Arat.,Germanicus,germanicus,Aratea,
iamwork412,Gorg.,Hel.,Gorgias,gorgias,Helena,Encomium of Helen
