"stoa_work_id","latin_title","stoa_group_id","group_name"
"latinLit:stoa0276/latinLit:stoa006","De Iona et Ninive","latinLit:stoa0276","[Tertullian]"
"latinLit:stoa0276/latinLit:stoa007","De iudicio Domini","latinLit:stoa0276","[Tertullian]"
"latinLit:stoa0276/latinLit:stoa008","Genesis","latinLit:stoa0276","[Tertullian]"
"latinLit:stoa0276/latinLit:stoa009","Passio Perpetuae et Felicitatis","latinLit:stoa0276","[Tertullian]"
"latinLit:stoa0276/latinLit:stoa010","Sodoma","latinLit:stoa0276","[Tertullian]"
"latinLit:stoa0277/latinLit:stoa001","Vita Hludowici Imperatoris","latinLit:stoa0277","Theganus"
"latinLit:stoa0278/latinLit:stoa001","Physiologus","latinLit:stoa0278","Theobaldus"
"latinLit:stoa0279/latinLit:stoa001","Codex Theodosianus","latinLit:stoa0279","Theodosius II"
"latinLit:stoa0280/latinLit:stoa001","De imitatione Christi","latinLit:stoa0280","Thomas à Kempis"
"latinLit:stoa0281/latinLit:stoa001","Elegiae","latinLit:stoa0281","Tibullus"
"latinLit:stoa0282/latinLit:stoa001","Fabularum palliatarum fragmenta","latinLit:stoa0282","Trabea"
"latinLit:stoa0283/latinLit:stoa001","Dacica","latinLit:stoa0283","Trajan"
"latinLit:stoa0284/latinLit:stoa001","Argonautica","latinLit:stoa0284","Valerius Flaccus"
"latinLit:stoa0285/latinLit:stoa001","Facta et dicta memorabilium","latinLit:stoa0285","Valerius Maximus"
"latinLit:stoa0286/latinLit:stoa001","Antiquitates","latinLit:stoa0286","Varro"
"latinLit:stoa0286/latinLit:stoa002","De lingua Latina","latinLit:stoa0286","Varro"
"latinLit:stoa0286/latinLit:stoa003","Menippeae Saturae","latinLit:stoa0286","Varro"
"latinLit:stoa0286/latinLit:stoa004","Res rusticae","latinLit:stoa0286","Varro"
"latinLit:stoa0287/latinLit:stoa001","Epitoma rei militaris","latinLit:stoa0287","Vegetius"
"latinLit:stoa0288/latinLit:stoa001","Libri XII Aeneidos supplementum","latinLit:stoa0288","Vegio, Maffeo"
"latinLit:stoa0289/latinLit:stoa001","Historiae Romanae","latinLit:stoa0289","Velleius Paterculus"
"latinLit:stoa0290/latinLit:stoa001","Aeneid","latinLit:stoa0290","Vergil"
"latinLit:stoa0290/latinLit:stoa002","Eclogae","latinLit:stoa0290","Vergil"
"latinLit:stoa0290/latinLit:stoa003","Georgica","latinLit:stoa0290","Vergil"
"latinLit:stoa0291/latinLit:stoa001","Fragmenta","latinLit:stoa0291","Verrius Flaccus"
"latinLit:stoa0292/latinLit:stoa001","Oratio VI","latinLit:stoa0292","Vico, Giambattista"
"latinLit:stoa0292/latinLit:stoa002","Catalan","latinLit:stoa0292","Vico, Giambattista"
"latinLit:stoa0293/latinLit:stoa001","Scacchia","latinLit:stoa0293","Vida, Girolamo"
"latinLit:stoa0294/latinLit:stoa001","De architectura","latinLit:stoa0294","Vitruvius"
"latinLit:stoa0295/latinLit:stoa001","Carmina","latinLit:stoa0295","Waardenburg"
"latinLit:stoa0296/latinLit:stoa001","Dialogus","latinLit:stoa0296","William of Ockham"
"latinLit:stoa0297/latinLit:stoa001","Aetna","latinLit:stoa0297","Appendix Vergiliana"
"latinLit:stoa0297/latinLit:stoa002","Catalepton","latinLit:stoa0297","Appendix Vergiliana"
"latinLit:stoa0297/latinLit:stoa003","Ciris","latinLit:stoa0297","Appendix Vergiliana"
"latinLit:stoa0297/latinLit:stoa004","Copa","latinLit:stoa0297","Appendix Vergiliana"
"latinLit:stoa0297/latinLit:stoa005","Culex","latinLit:stoa0297","Appendix Vergiliana"
"latinLit:stoa0297/latinLit:stoa006","De institutione viri boni","latinLit:stoa0297","Appendix Vergiliana"
"latinLit:stoa0297/latinLit:stoa007","De rosis nascentibus","latinLit:stoa0297","Appendix Vergiliana"
"latinLit:stoa0297/latinLit:stoa008","Dirae","latinLit:stoa0297","Appendix Vergiliana"
"latinLit:stoa0297/latinLit:stoa009","Elegiae in Maecenatem","latinLit:stoa0297","Appendix Vergiliana"
"latinLit:stoa0297/latinLit:stoa010","Est et Non","latinLit:stoa0297","Appendix Vergiliana"
"latinLit:stoa0297/latinLit:stoa011","Lydia","latinLit:stoa0297","Appendix Vergiliana"
"latinLit:stoa0297/latinLit:stoa012","Moretum","latinLit:stoa0297","Appendix Vergiliana"
"latinLit:stoa0297/latinLit:stoa013","Priapea","latinLit:stoa0297","Appendix Vergiliana"
"latinLit:stoa0297/latinLit:stoa014","Quid hoc novi est?","latinLit:stoa0297","Appendix Vergiliana"
